Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,TextBlob_Sentiment,TextBlob_NaiveBayes_Sentiment,NLTK_Vader_Sentiment
376853137,HP ENVY 6458e All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6458e All-in-One Printer,I waste paper and ink trying to get it to print properly - dark enough.,IPH,15,2024-04-03 13:00:34,2024-04-01 00:00:00,Others,-0.11666666666666665,neg,-0.4215
380942055,HP OfficeJet Pro 8028e All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8028e All-in-One Printer,"I like the printer, but I hate your ink program. You lock me in, then waste the ink when I want to get out of the program.",IIC,27,2024-04-16 08:20:18,2024-04-01 00:00:00,Instant Ink related,-0.5,neg,-0.8201
377495694,HP 63 Black Original Ink Cartridge,US,2,Web Reviews,English,Amazon US,1,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,"Coffee tastes good, but the top foil comes off the cup when in the coffee machine and grounds end up in cup.",IPH,22,2024-04-01 01:00:00,2024-04-01 00:00:00,Others,0.6,neg,0.4854
376873459,HP DeskJet 2742e All-in-One Printer,US,2,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2742e All-in-One Printer,This printer came with 6 months free ink and something I've never gotten.  Called customer service no help at.  It would not to connect to my Samsung phone but has on my pixel.  But I'm out of ink and can't use printer.  Will probably buy a canon to replace as a new printer is cheaper than ink,IPH,57,2024-04-03 04:33:39,2024-04-01 00:00:00,"Instant Ink related, Customer experience & expectation, Logistic Handling, Printer Hardware/Printing issues, Cartridge Problem",0.2681818181818182,pos,0.34
377516372,HP DeskJet Ink Advantage Ultra 4825 Printer,CN,6,HPS Surveys,Chinese (China),,,Supplies - Ink,Obelisk,Taccola,HP DeskJet Ultra Ink Advantage 4825 Printer,"Printing is a bit slow, the ink is a bit blurry, and it is easy to get blurred if you scratch it with your fingernail.",IPH,25,2024-04-08 19:08:27,2024-04-01 00:00:00,Others,0.06666666666666665,pos,0.3612
388518461,HP 305XL High Yield Tri-color Original Ink Cartridge,IT,6,Web Reviews,Italian,Amazon IT,3,Supplies - Ink,Obelisk,,HP 305XL High Yield Tri-color Original Ink Cartridge,Purtroppo ha una durata troppo breve rispetto al costo piuttosto alto!,IPH,11,2024-04-29 01:00:00,2024-04-01 00:00:00,Others,0.0,pos,0.4003
380953106,HP ENVY 6455e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6455e All-in-One Printer,Lost internet and cannot get it reconnected. I also used the ink cartridges that were sent to me by HP and have gotten error messages no matter what I try. Zero stars.,IPH,32,2024-04-19 12:59:31,2024-04-01 00:00:00,Instant Ink related,0.0,pos,-0.7269
383555187,HP 67XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,Staples,5,Supplies - Ink,Obelisk,,HP 67XL High Yield Black Original Ink Cartridge,THE RIGHT CARTRIDGE FOR MY 2755 HP DESKJET PRINTER,IPH,9,2024-04-18 08:00:00,2024-04-01 00:00:00,Others,0.2857142857142857,pos,0.0
379454993,HP ENVY 6052e All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6052e All-in-One Printer,"The printer itself is good, but you are required to use the HP Instant Ink which I did for awhile but the ink is not sent in enough time to keep the printer with ink to print and the printing of pages that is recorded is not something that HP needs to know.  When I cancelled my subscription, the printer refuses to print and I have to reset it sometimes 3 times a day when I am using HP ink cartridges.  It is like you have programmed the device to print only with a subscription model and when the subscription is cancelled, the program kicks in errors so the printer will not work.  I had to trash my original Envy 6052 due to this issue but the 2nd one does the exact same thing which tells me it is the way it is programmed so it forces the owner to use your subscription services.  So no, I will not recommend something that is a pain to use and a pain to maintain.",IPH,172,2024-04-16 06:18:11,2024-04-01 00:00:00,"Instant Ink related, Printer Hardware/Printing issues",0.13333333333333333,pos,-0.9546
381811418,HP OfficeJet Pro 9015e All-in-One Printer,US,8,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9015e All-in-One Printer,"From a performance perspective, this printer earns a ""9-10"" rating in my view.  I rated it an ""8"" because of the absurdly high cost for ink cartridges.  I wouldn't be surprised if your profit margin approaches 80%.  That's insane.",IIC,39,2024-04-18 07:25:50,2024-04-01 00:00:00,Cost,-0.24666666666666667,pos,-0.1195
