Survey ID,cat,polarity,polarity_score,sentence
101618952,Price,positive,0.9444374442100525,Best price for good ink cartridge. Easy to install and ink is always good.
101618952,Product Quality,positive,0.9444374442100525,Best price for good ink cartridge. Easy to install and ink is always good.
110317001,Others,positive,0.9239133596420288,Order came very quick!
113652950,Others,positive,0.9351100325584412,Been using this ink for years and even though it has gone up a little it's still a good price.
117483634,Others,negative,0.9652001261711121,Good but expensive but this is Biden' fault
118156397,Price,positive,0.973781168460846,Great price and delivery right to my front door!
118156397,Product Quality,positive,0.973781168460846,Great price and delivery right to my front door!
118156397,Delivery,positive,0.973781168460846,Great price and delivery right to my front door!
118297239,Price,positive,0.6023001074790955,Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.
118297239,Product Quality,positive,0.6023001074790955,Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.
123353524,Product Quality,positive,0.9457768201828003,I have tried off brands and HP seems to be so much better quality of ink. And does a great printing and coping job.
123353644,Price,negative,0.97957444190979,I needed to replace both of my cartridges.. I just think the price is ridiculous for all ink cartridges
123354410,Others,positive,0.9633193612098694,I like the brand of hp and the ink is always bright when you print.
134620903,Price,positive,0.9596110582351685,This is a good ink. I have never had trouble with it. It is a good price.
134620903,Product Quality,positive,0.9596110582351685,This is a good ink. I have never had trouble with it. It is a good price.
135089394,Product Quality,positive,0.9795781970024109,Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.
144243534,Customer Service,positive,0.9715083241462708,And that's why I'm a returning customer! Plus it keeps me safe from the flu bugs!
148678811,Delivery,positive,0.7945800423622131,"[This review was collected as part of a promotion.] Although this item was on backorder, it was delivered as promised by the estimated delivery date."
150354022,Customer Service,positive,0.6385966539382935,"I usually order printer ink, as I live in a rural area & it's difficult to get fresh ink. I usually have quick service ordering on line & receive it within 2-3 days. [This review was collected as part of a promotion.]"
154440574,Product Quality,negative,0.8730008602142334,I have had experience with “cheaper” ink products from other distributors and had items that wouldn't print or the quality was not worthy.
166867246,Product Quality,positive,0.9618846774101257,I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.
169775244,Others,negative,0.6039575338363647,"For as long as I have had a printer it's always been an HP and nothing goes in it except genuine HP ink. I once or twice tried an ""off brand"", didn't only not compare in quality, but also didn't last nearly as long."
169778405,Price,negative,0.8216981887817383,"The price of these ink cartridges was higher than what I had been using; however, my printer will accept only the HP brand."
172502971,Price,negative,0.9594262838363647,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!
172502974,Price,negative,0.9594262838363647,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!
175972673,Others,negative,0.7579742074012756,i had to wait for it. It took an extra 3 days from when it was promised to be delivered.   Not sure why?
176597645,Others,negative,0.49361711740493774,What could possibly go wrong ???
177121152,Product Quality,positive,0.8926085829734802,The best quality toner out there
179787323,Price,positive,0.9354509711265564,A great deal!! I ordered 2 at one time!!
179787323,Product Quality,positive,0.9354509711265564,A great deal!! I ordered 2 at one time!!
179787323,Delivery,positive,0.9354509711265564,A great deal!! I ordered 2 at one time!!
179790933,Price,positive,0.6130098104476929,HP product.  Prices are going up though.
179936042,Price,positive,0.9444374442100525,Best price for good ink cartridge. Easy to install and ink is always good.
179936042,Product Quality,positive,0.9444374442100525,Best price for good ink cartridge. Easy to install and ink is always good.
179938562,Product Quality,positive,0.9795781970024109,Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.
179939097,Others,positive,0.43756648898124695,I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.
180040275,Delivery,positive,0.8115931749343872,I ordered it and it was delivered the next day!
180464154,Others,positive,0.43756648898124695,I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.
180465020,Others,negative,0.8947380185127258,The cost is significant but I don't want to enroll in the HP ink program.
180466928,Price,positive,0.9194350242614746,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
180466928,Product Quality,positive,0.9194350242614746,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
