Survey ID,sentence,Customer Service,Delivery,Others,Price,Product Quality
110020182,"Excllent quality; easy to order, received promptly.",0,1,0,0,1
123460320,Great price and arrived even earlier than stated.,0,0,1,0,0
133472112,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",0,1,0,1,1
134626563,[This review was collected as part of a promotion.] The HP cartridge has lasted longer than any black ink cartridge that I normally purchase,0,0,0,0,1
172491173,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.,0,0,0,0,1
172497739,Great price for an item I use all the time,0,0,0,1,1
181601745,Received the proper ink I ordered even faster than expected. It appears to be fresh and prints just fine as expected. Will order again.,0,0,1,0,0
182986266,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.,0,0,0,0,1
183006613,little pricey but happy with it.,0,0,1,0,0
245962716,Good product. No less expensive substitute available. Must always have ink backup for printer.,0,0,0,0,1
311577643,Great quality of printers ink.  Easy ordering through Walmart .,0,0,0,0,1
341475319,Printer calls for 65 but this one would not sink with the printer. Replace empty printer cartridge and it would print even though it was out of ink. Never had any previous problem with HP.,0,0,1,0,0
360697737,"I have tried to ask.fir help we have put new cartridges in and it won’t work abd is not letting me actually print out a decent piece of work . These are YOUR cartridges but you have ignored me trying to get it sorted . All get is a pink colour which is useless  so of no use at all this was a very expensive printer and it’s appalling that I have had no help whatsoever to get this up and running . I object to having to put in copious pieces of paper before it would print which makes the ink
Disappear so fast when it did work which wasn’t for very long . Absolute crap as far as I am concerned !!!",0,0,1,0,0
369656281,"The printer is okay. However, the ink cartridges are too expensive.",0,0,0,1,0
370555451,The very first shipment of ink cartridges contained the wrong type of color cartridge. I used it and now I haven't been able to print in color despite exhausting all the trouble shooting tips. I don't remember when I bought the printer but it was after the very first shipment of ink.,0,0,1,0,0
372331830,"I was going to  sign up for the replacement order but feel the colour ink does not last at all well sadly, had this printer less than 2 months and it's already running low and I've printed less than 15 sheets in colour",0,0,1,0,0
372525403,the printer is good quality.  but i got stocked with it with no use because i was suscribed to automatic ink delivery and i have been trying to use it with no good results.  it ask my payment or something very complicated for me.,0,0,0,0,1
372870081,"I think its rediculous that if I cancel my subscription, that I can't use the ink I already have.  My usage changes from month to month, and I don't need to subscribe - but don't wnat to lose the ink I already have.  I will never recommend this to anyone.",0,0,1,0,0
373085725,"when the instant ink service started instead of being delivered it was taken to a post office for me to pick up, this is not convenient I may as well just go to the store and buy ink when I need it. I will be cancelling this service. this seems the only option to contact hp when possibly a person may read the feedback, your app and website appear to have zero options to contact actual humans",0,0,1,0,0
373115520,Took too long to figure out how to get connected to internet to even get an ink account set up,0,0,1,0,0
373126083,"The price of ink and the printer does a lot of maintenance on itself making you wait to print one page longer than I like. Plus I hate the instant ink subscription program. I had a lot of problems with it on my other HP printer. Substitute cartridges, would not let me use HP ink I bought when I was out and needed to print. I would NOT recommend that program. I gave friends against HP because of that ink program.",0,0,0,1,0
373410460,"Frequent down-times and restorations needed.  Unstable process/printing.  I do not appreciate the need to be locked into a program of ink usage that involves both cartridge and paper renewal.  I bought several cartridges labeled to be specifically designed for my printer, but each time, they were rejected by your printer.  Too much ado about nothing.  It’s too customer unfriendly.",0,0,1,0,0
373411622,"My first printer was messed up after several fail attempts and multiple hours on the phone i was finally able to get a working printer however it wasnt made clear by the package or any other details that The printer can not be used without internet. I feel i was scamed. $130 dollars of nothibg but problems. It is difficult to work because it would disconnect after each print, it never connected easy, then the wonderful get 6 mo free instant ink is a joke. It took 2 months to get ink. QI didn't receive ink yet I was charged several several months. Sorry HP but you dropped the ball on this one. If I could i would get my money back and give you this horrible printer back. I still own the printer because I refuse to give this problem box to anyone.",0,0,1,0,0
373423733,"The first 2 deliveries defective ink cartridges were sent.  Also, I notice the price has increased to over $7.00 and I was not notified about this and no explanation was given.  The Quality Control and Customer Communication need to improve.",0,0,1,0,0
373443754,"It’s easy to use. It updates itself!
Pictures come outstanding when pictures are on something your printing.
And when your almost out of ink you get a notice in your email, just press yes and you have fresh ink with in 5 days or less!
Pretty simple machine to operate!",0,0,1,0,0
373580949,"Well, I've not used it very much yet. I don't know how well the ink lasts, etc. Maybe after a couple of months you might get a 10.",0,0,1,0,0
373747397,"Needed a printer that I could print from anywhere.  Found this one & connecting was no problem - actually very easy.  Ordered the ink even though I don't use the printer that often but was convenient.  Worked first few times I have used it now I'm back to the same problem as my previous HP printer - ""printer off line""!!!  This is SO  frustrating!!  Restarting my computer to try to get it to work again!!!",0,0,1,0,0
373757513,price higher than elsewhere,0,0,0,1,0
373798231,"Unacceptable delivery delays, I had to go tithe store buy some ink since I was getting delays notifications. Delivery should be fast and easy in 2024 for a large organization like HP, that’s why I’m not satisfied with the service. Thank you.",1,1,0,0,0
373818233,I bought your instant ink monthly plan.  You shut don’t my office because cause a $6 charge did not go thought.  If you had email me I could have fix the problem. You cost me a lot of money because my credit card had to be change. I have tried to cancel your ink but you have no way to do this on your Wed link. I will likely not buy a HP device again.,0,0,1,0,0
374033955,It's very easy setup and easy to use 👌 ink is sent out as soon as you start to run low very convenient. All round great.,0,0,1,0,0
374183966,"Mainly because the cartridges dry out quite quick unless you’re doing printing, at least every couple of weeks.",0,0,1,0,0
374187447,"The ink cartridges that came with the printer were defective.  HP replaced them. 

 I have problems with the new cartridges.

The color ones indicate they are empty even though I only print in black.  The black leaked.  I have photos of the spilled ink.

The printer responds to voice phone calls as if they were a fax.",0,0,1,0,0
374196933,"Ink cartridges are horribly expensive. Printer won't print at all (not even in black) if any one of the colour cartridges are depleted.
The printhead often gives issues and the software supporting the printer often plays up with several of our DELL desktops in terms of not being able to see the PC for purposes of scanning to computer from the printer display touch pad.",0,0,1,0,0
374199838,The instant ink promotion is not ideal for those of us who barely prints 5 pages a month. It is difficult to cancel and you don't know if you have to send back the welcome kit ink that has not been open or used,0,0,1,0,0
374205728,Love the printer but after dropping out of the ink program I can't use it I paid for ink but since I stopped I was told I had to get different ink with that being said I will never recommend a ho printer,0,0,1,0,0
